Tool names,DOI,Domain,Year Published,Web-based,Controlled access (for web-based): does it require login or sign up or payment?,Command-line,Both,Package manager availability - Anaconda,Package manager availability - Bioconductor,Package manager availability - R package manager (includes CRAN),Package manager availability - Python based package manager (includes pypi),Package manager availability - Other (homebrew and ubuntu),Thread availability,Docker support,Number of releases - Stand alone website,Number of releases - Anaconda,Number of releases for Pypi,Number of releases for CRAN/R,Number of releases for Bioconductor,Number of releases for Github/Sourceforget,Number of Releases per Year for standalone website,Number of releases per year for Anaconda,Number of releases per year for Pypi,Number of releases per year for CRAN,Number of releases per year for Bioconductor,Number of releases per year for github and source forge,Required Expertise,Has_Documentation,Has_Package_Manager,Has_Toy_Examples,Source Code Link,Link is Broken,Storage location - Github / Gitlab / sourceforge / Google code / bitbucket,Storage location anaconda,Storage location mamba,Storage location docker,Storage location python,Storage location bioconductor,Storage location other,Storage location for tools on web server,Comparison to other tools in the original publication - only note whether benchmarked or not.,Tools Benchmarked Against,License,Number of citations,Citations per year
FastQC,"no DOI. Cited as: ""FastQC: a quality control tool for high throughput sequence data.""",Data quality control,2010,Y,Y,Y,Y,Y,N,N,N,N,N,Y,36,21,0,0,0,6,2.4,1.3125,0,0,0,0.375,"1,2,3",Y,Y,Y,https://www.bioinformatics.babraham.ac.uk/projects/fastqc/,N,https://github.com/s-andrews/FastQC,https://anaconda.org/bioconda/fastqc,https://bioconda.github.io/recipes/fastqc/README.html,https://hub.docker.com/r/biocontainers/fastqc,,,,https://www.bioinformatics.babraham.ac.uk/projects/fastqc/,N,,"GPL3, Apache License Version 2.0",23981,1598.733333
TagCleaner,https://doi.org/10.1186/1471-2105-11-341,Data quality control,2010,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,9,0.06666666667,0,0,0,0,0.5625,0,N,N,N,http://edwards.sdsu.edu/tagcleaner,Y,https://tagcleaner.sourceforge.net/,,,,,,,,N,,GNU General Public License 3+,283,18.86666667
BEDTools,https://doi.org/10.1093/bioinformatics/btq033,Data quality control,2010,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,0,19,0,0,0,23,0,1.1875,0,0,0,1.4375,"1,2,3",Y,Y,Y,https://code.google.com/archive/p/bedtools/,N,https://code.google.com/archive/p/bedtools/ AND https://github.com/arq5x/bedtools2,https://anaconda.org/bioconda/BEDTools,,https://hub.docker.com/r/biocontainers/bedtools,,,https://formulae.brew.sh/formula/bedtools,,N,,MIT,25617,1707.8
SolexaQA,https://doi.org/10.1186/1471-2105-11-485,Data quality control,2010,N,N,Y,N,Y,N,N,N,N,N,Y,0,1,0,0,0,20,0,0.0625,0,0,0,1.25,"1,2,3",Y,Y,Y,https://solexaqa.sourceforge.net/,N,https://solexaqa.sourceforge.net/ AND https://sourceforge.net/projects/solexaqa/files/,https://anaconda.org/bioconda/SolexaQA,,https://hub.docker.com/r/gfanz/solexaqa,,,,,N,,GPL3,1567,104.4666667
SeqTrim,http://doi.org/10.1186/1471-2105-11-38,Data quality control,2010,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,1,Y,N,N,https://www.scbi.uma.es/seqtrim,Y,,,,,,,,,Y,"SeqClean, Lucy, ESTPrep","""No license or account needed.""",222,14.8
SAMStat,https://doi.org/10.1093/bioinformatics/btq614,Data quality control,2011,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,4,0,0,0,0,0,0.2666666667,"1,3",Y,N,Y,http://samstat.sourceforge.net/,Y,https://github.com/TimoLassmann/samstat/tree/719b7f137035259f5e6354ae5df090998459552f,,,https://hub.docker.com/r/dnadocker/samstat,,N,,N,N,,GPL3,203,14.5
cutadapt,https://doi.org/10.14806/ej.17.1.200,Data quality control,2011,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,0,42,68,0,0,0,0,2.8,4.533333333,0,0,0,"1,2,3",Y,Y,Y,http://code.google.com/p/cutadapt/,N,http://code.google.com/p/cutadapt/ and https://cutadapt.readthedocs.io/en/stable/,https://anaconda.org/bioconda/cutadapt,,https://biocontainers.pro/tools/cutadapt and https://biocontainers.pro/tools/python3-cutadapt and https://biocontainers.pro/tools/python-cutadapt,https://pypi.org/project/cutadapt/,,,,N,,MIT,30500,2178.571429
BigPRE,http://doi.org/10.1016/S1672-0229(11)60027-2,Data quality control,2011,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,5,0,0,0,0,0,0.3333333333,"1,3",Y,N,Y,https://sourceforge.net/projects/bigpre/,N,https://sourceforge.net/projects/bigpre/,,,,,,,,N,,GPLv3,35,2.5
RSeQC,https://doi.org/10.1093/bioinformatics/bts356,Data quality control,2012,N,N,Y,N,Y,N,N,Y,N,N,Y,0,21,0,0,0,1,0,1.5,0,0,0,0.07142857143,"1,2",Y,Y,N,https://code.google.com/p/rseqc/,Y,https://github.com/MonashBioinformaticsPlatform/RSeQC or https://code.google.com/archive/p/rseqc/,https://anaconda.org/bioconda/rseqc/,https://bioconda.github.io/recipes/rseqc/README.html,https://biocontainers.pro/tools/rseqc,https://pypi.org/project/RSeQC/,,,,Y,"In supp. files: RNA-SeQC, CollectRNASeqMetrics(Picard), FastQC, SAMStat, htSeqTools, ShortRead, FASTX-toolkit, htseq",GPL3,2515,193.4615385
RNA-SeQC,https://doi.org/10.1093/bioinformatics/bts196,Data quality control,2012,Y,Y,N,Y,N,N,N,N,N,N,N,0,0,0,0,0,11,0,0,0,0,0,0.7857142857,"https://software.broadinstitute.org/cancer/cga/sites/default/files/data/tools/rnaseqc/RNA-SeQC_Help_v1.1.2.pdf -> 1, 3",Y,Y,Y,,N,,,,,,,,https://web.archive.org/web/20161204191532/http://archive.broadinstitute.org/cancer/cga/rnaseqc_download,N,,Apache License Version 2.0,961,73.92307692
Seqbias,https://doi.org/10.1093/bioinformatics/bts055,Data quality control,2012,N,N,Y,N,N,Y,N,N,N,N,Y,0,0,0,0,45,0,0,0,0,0,3.214285714,0,"1,2,3",Y,Y,Y,,N,Y (https://github.com/dcjones/seqbias),,,https://biocontainers.pro/tools/bioconductor-seqbias,,Y(https://bioconductor.org/packages/3.15/bioc/html/seqbias.html),,N,N,,LGPL3,47,3.615384615
Flexbar,https://doi.org/10.3390/biology1030895,Data quality control,2012,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,0,16,0,0,0,13,0,1.142857143,0,0,0,0.9285714286,"1,2",Y,Y,N,https://sourceforge.net/projects/flexbar/,N,,https://anaconda.org/bioconda/flexbar,https://bioconda.github.io/recipes/flexbar/README.html,https://biocontainers.pro/tools/flexbar,,,,,Y,"FastX, Btrim, Cutadapt",BSD-3-Clause License,737,56.69230769
BlackOPs,https://doi.org/10.1093/nar/gkt692,Data quality control,2013,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,7,0,0,0,0,0,0.5384615385,"1,3",Y,N,Y,https://sourceforge.net/projects/rnaseqvariantbl/,N,https://sourceforge.net/projects/rnaseqvariantbl/,,,,,,,,N,,GPL3,27,2.25
HTQC,https://doi.org/10.1186/1471-2105-14-33,Data quality control,2013,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,2,0,0,0,0,0,0.1538461538,"1,3(if a ""To demonstrate the function of HTQC, a paired-end sequence data of human gut metagenome was used as an example."" is a toy example enough )",Y,N,Y,https://sourceforge.net/projects/htqc/,N,https://sourceforge.net/projects/htqc/files/,N,,,,,,,Y,"SolexaQA version 1.12, FastQC version 0.10.1 and BIGpre version 2.0.2",GPL3,210,17.5
AlienTrimmer,https://doi.org/10.1016/j.ygeno.2013.07.011,Data quality control,2013,N,N,Y,N,N,N,N,N,N,N,Y,5,0,0,0,0,1,0.4166666667,0,0,0,0,0.07692307692,"1,3",Y,N,Y,ftp://ftp.pasteur.fr/pub/gensoft/projects/AlienTrimmer/,N,https://gitlab.pasteur.fr/GIPhy/AlienTrimmer,,,https://hub.docker.com/r/lethalfang/alientrimmer,,,,https://bioweb.pasteur.fr/packages/pack@AlienTrimmer@0.3.2-gcj AND https://research.pasteur.fr/en/software/alientrimmer/,Y,"CUTADAPT, FLEXBAR, BTRIM",AGPL-3.0 License,233,19.41666667
kPAL,https://doi.org/10.1186/s13059-014-0555-3,Data quality control,2014,N,N,Y,N,Y,N,N,Y,N,N,N,0,10,0,0,0,8,0,0.8333333333,0,0,0,0.6666666667,"1,2,3",Y,Y,Y,https://github.com/LUMC/kPAL,N,https://github.com/LUMC/kPAL,https://kpal.readthedocs.io/en/stable/intro.html or https://anaconda.org/bioconda/kpal/files,https://bioconda.github.io/recipes/kpal/README.html,,,,,,Y,SGA,MIT,28,2.545454545
QuaCRS,https://doi.org/10.4137/cin.s14022,Data quality control,2014,Y,Y,N,Y,N,N,N,N,N,N,N,3,0,0,0,0,1,0.2727272727,0,0,0,0,0.08333333333,"1,3",Y,N,Y,http://bioserv.mps.ohio-state.edu/QuaCRS/,N,https://github.com/kwkroll32/QuaCRS,,,,,,,http://bioserv.mps.ohio-state.edu/QuaCRS/index.php/pages/view/downloads,N,,Non commercial use Ohio State Uni. License,70,6.363636364
Skewer,https://doi.org/10.1186/1471-2105-15-182,Data quality control,2014,N,N,Y,N,Y,N,N,N,N,Y,Y,0,4,0,0,0,2,0,0.3333333333,0,0,0,0.1666666667,"1,2",Y,Y,N,https://sourceforge.net/projects/skewer/,N,https://sourceforge.net/projects/skewer/ https://github.com/relipmoc/skewer,https://anaconda.org/bioconda/skewer,Yhttps://bioconda.github.io/recipes/skewer/README.html,https://biocontainers.pro/tools/skewer,,,,,Y,"FastX, SeqTrim, TagCleaner, EA-Tools (same as EA-Utils), Cutadapt, TrimGalore, SeqPrep, Btrim, Scythe, Flexbar, Trimmomatic, AdapterRemoval, AlienTrimmer, NextClip",MIT,1460,132.7272727
Trimmomatic,https://doi.org/10.1093/bioinformatics/btu170,Data quality control,2014,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,3,24,0,0,0,10,0.2727272727,2,0,0,0,0.8333333333,"1,2",Y,Y,N,http://www.usadellab.org/cms/index.php?page=trimmomatic,N,https://github.com/usadellab/Trimmomatic,https://anaconda.org/bioconda/trimmomatic,https://bioconda.github.io/recipes/trimmomatic/README.html,https://hub.docker.com/r/staphb/trimmomatic/,https://biolib.com/bio-utils/trimmomatic/,,,http://www.usadellab.org/cms/index.php?page=trimmomatic,Y,"AdapterRemoval, Scythe / Sickle, EA-Utils. Cutadapt, Fastx-Toolkit, Reaper.",GPL3,57775,5252.272727
PEAR,https://doi.org/10.1093/bioinformatics/btt593,Data quality control,2014,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,0,1,0,0,0,1,0,0.08333333333,0,0,0,0.08333333333,"1,2,3",Y,Y,Y,http://www.exelixis-lab.org/web/software/pear,N,https://github.com/tseemann/PEAR?tab=readme-ov-file,https://anaconda.org/bioconda/PEAR,,https://biocontainers.pro/tools/pear,,,,https://www.h-its.org/software/pear-paired-end-read-merger/ https://cme.h-its.org/exelixis/web/software/pear/doc.html,Y,"FLASH, PANDAseq, COPE",Creative Commons 3.0,4467,406.0909091
NOISeq R,https://doi.org/10.1093/nar/gkv711,Data quality control,2015,N,N,Y,N,N,Y,N,N,N,N,Y,0,0,0,0,151,0,0,0,0,0,13.72727273,0,"1,2,3",Y,Y,Y,,N,,,,https://hub.docker.com/r/emiller88/noiseq,,https://www.bioconductor.org/packages/release/bioc/html/NOISeq.html,,,N,,Artistic 2.0,808,80.8
CADBure,https://doi.org/10.1038/srep13443,Data quality control,2015,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,1,0,0,0,0,0,0.09090909091,"1,3",Y,N,Y,https://cadbure.sourceforge.net/,N,https://sourceforge.net/projects/cadbure/files/ AND https://cadbure.sourceforge.net/,,,https://hub.docker.com/r/lumc/cadbure,,,,,N,,GPL,12,1.2
BUSCO,https://doi.org/10.1093/molbev/msab199 https://doi.org/10.1093/bioinformatics/btv351 doi.org/10.1007/978-1-4939-9173-0_14 https://doi.org/10.1093/molbev/msx319,Data quality control,2015,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,0,44,0,0,0,36,0,4,0,0,0,3.272727273,"1,2,3",Y,Y,Y,https://busco.ezlab.org/,N,https://gitlab.com/ezlab/busco,https://anaconda.org/bioconda/BUSCO,,https://hub.docker.com/r/nanozoo/busco,,,https://busco.ezlab.org/,,Y,CheckM and CEGMA,MIT,19964,1996.4
SinQC,https://doi.org/10.1093/bioinformatics/btw176,Data quality control,2016,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.1,"1,3",Y,N,Y,https://www.morgridge.net/dmz/www-dmz/upload/files/peng/SinQC/Main.html,Y,,,,,,,,https://morgridge.org/research/regenerative-biology/software-resources/sinqc/,N,,,56,6.222222222
MultiQc,https://pmc.ncbi.nlm.nih.gov/articles/PMC5039924/,Data quality control,2016,Y,N,N,N,Y,N,N,Y,N,N,Y,1,196,48,0,0,48,0.1111111111,19.6,4.8,0,0,4.8,"1,2,3",Y,Y,Y,https://seqera.io/multiqc/,N,http://github.com/MultiQC/MultiQC,https://anaconda.org/bioconda/multiqc,,https://hub.docker.com/r/multiqc/multiqc,https://pypi.org/project/multiqc/,n,n,https://seqera.io/multiqc/,N,n,GPL 3,7364,818.2222222
SeqKit,https://doi.org/10.1371/journal.pone.0163962,Data quality control,2016,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,0,49,0,0,0,90,0,4.9,0,0,0,9,"1,2,3",Y,Y,Y,https://github.com/shenwei356/seqkit,N,https://github.com/shenwei356/seqkit,https://anaconda.org/bioconda/SeqKit,,https://hub.docker.com/r/nanozoo/seqkit,,,https://formulae.brew.sh/formula/seqkit,https://sandbox.bio/tutorials/seqkit-intro and https://bioinf.shenwei.me/seqkit/,Y,"seqtk, fasta_utilities, fastx_toolkit, seqmagick, biogo",MIT,2406,267.3333333
rnaQUAST,https://doi.org/10.1093/bioinformatics/btw218,Data quality control,2016,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,0,8,0,0,0,11,0,0.8,0,0,0,1.1,"1,2",Y,Y,N,https://bioinf.spbau.ru/en/rnaquast AND http://cab.spbu.ru/software/rnaquast/,Y,https://github.com/ablab/rnaquast,https://anaconda.org/bioconda/rnaQUAST,,https://hub.docker.com/r/nanozoo/rnaquast,,,,https://bioinf.spbau.ru/en/rnaquast AND http://cab.spbu.ru/software/rnaquast/,Y,DETONATE (REF-EVAL and RSEM-EVAL components),Copyright,140,15.55555556
SEQualyzer,https://doi.org/10.1093/bioinformatics/btw627,Data quality control,2017,Y,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,1,0,0,0,0,0,0.1111111111,"1,2,3",Y,Y,Y,https://github.com/AviranLab/SPEQC,N,https://github.com/AviranLab/SEQualyzer_windows_standalone,n,,n,n,n,n,n,N,,"""SEQualyzer is free for non-commercial research. For commercial use, please contact the authors.""",10,1.25
Scater,https://doi.org/10.1093/bioinformatics/btw777,Data quality control,2017,Y,Y,Y,N,N,Y,N,N,N,Y,Y,0,0,0,0,35,0,0,0,0,0,3.888888889,0,"1,2,3",Y,Y,Y,http://bioconductor.org/packages/scater,N,,,,,,http://bioconductor.org/packages/scater,,,N,,GPL3,1624,203
AfterQC,doi.org/10.1186/s12859-017-1469-3,Data quality control,2017,N,N,Y,N,Y,N,N,N,N,Y,Y,0,2,0,0,0,17,0,0.2222222222,0,0,0,1.888888889,"1,2,3",Y,Y,Y,https://github.com/OpenGene/AfterQC,N,https://github.com/OpenGene/AfterQC,https://anaconda.org/bioconda/afterqc,,https://biocontainers.pro/tools/afterqc,,,,,Y,"FastQC, Trimmomatic, Cutadapt",MIT,365,45.625
qsmooth,https://doi.org/10.1093/biostatistics/kxx028,Data quality control,2018,N,N,Y,N,N,Y,N,N,N,N,Y,0,0,0,0,13,1,0,0,0,0,1.625,0.125,"1,2,3",Y,Y,Y,https://github.com/stephaniehicks/qsmooth,N,https://github.com/stephaniehicks/qsmooth,,,https://hub.docker.com/r/sufyazi/qsmooth-r,,https://bioconductor.org/packages/release/bioc/html/qsmooth.html,,,Y,"Mentioned in the paper and added in supp. figures. RLE (DESeq, Anders et al 2010) and Quantile Norm. (Paulson 2016, needs check ). Median normalization is only mentioned once so probably should not be included as comparison",GPL3,118,16.85714286
FastQ Screen,https://doi.org/10.12688/f1000research.15931.2,Data quality control,2018,N,N,Y,N,N,N,N,N,N,Y,Y,41,0,0,0,0,10,5.857142857,0,0,0,0,1.25,"1,3",Y,N,Y,https://github.com/StevenWingett/FastQ-Screen,N,https://github.com/StevenWingett/FastQ-Screen,,,https://hub.docker.com/r/wailz/fastqscreen AND https://hub.docker.com/r/marrip/fastq-screen,,,,https://www.bioinformatics.babraham.ac.uk/projects/fastq_screen/,N,,GPL3,1685,240.7142857
scRNABatchQC,https://doi.org/10.1093/bioinformatics/btz601,Data quality control,2019,N,N,Y,N,N,N,Y,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.1428571429,"1,2,3",Y,Y,Y,https://github.com/liuqivandy/scRNABatchQC,N,https://github.com/liuqivandy/scRNABatchQC,,,,,,,,N,,LGPL3,22,3.666666667
SeqPrep,https://www.nature.com/articles/s41564-019-0532-4,Data quality control,2019,Y,N,Y,N,Y,N,N,N,Y,N,Y,1,14,0,0,0,1,0.1666666667,2,0,0,0,0,"1,2,3",Y,Y,Y,https://github.com/jstjohn/SeqPrep,N,https://github.com/jstjohn/SeqPrep,https://anaconda.org/bioconda/seqprep,,https://hub.docker.com/r/biocontainers/seqprep,n,n,n,n,N,,MIT,245,40.83333333
iSeqQC,https://doi.org/10.1186/s12859-020-3399-8,Data quality control,2020,Y,Y,Y,Y,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.1666666667,"1,3",Y,N,Y,https://github.com/gkumar09/iSeqQC AND http://cancerwebpa.jefferson.edu/iSeqQC/,N,https://github.com/gkumar09/iSeqQC,,,,,,,http://cancerwebpa.jefferson.edu/iSeqQC,Y,"Table 2: QoRTs, QC3, RSeQC, RNA-SeQC, EDASeq, and NOISeq",MIT,26,5.2
RNA2HLA,https://doi.org/10.1093/bib/bbab055,Data quality control,2021,N,N,Y,N,Y,N,N,N,N,Y,Y,0,0,0,0,0,1,0,0,0,0,0,0.2,"1,2",Y,Y,N,https://github.com/Chelysheva/RNA2HLA,N,https://github.com/Chelysheva/RNA2HLA,,,https://hub.docker.com/r/mjinkm/rna2hla,,,,,N,,MIT,11,2.75
RNA-SeQC 2,https://doi.org/10.1093/bioinformatics/btab135,Data quality control,2021,N,N,Y,N,Y,N,N,N,N,N,Y,0,5,0,0,0,17,0,1,0,0,0,3.4,"1,2",Y,Y,N,https://github.com/getzlab/rnaseqc,N,https://github.com/getzlab/rnaseqc,https://anaconda.org/bioconda/RNA-SeQC,,https://biocontainers.pro/tools/rna-seqc,,,,,N,,BSD-3-Clause License,88,22
Picard,https://doi.org/10.48550/arXiv.2109.05093,Data quality control,2021,Y,N,Y,N,Y,N,N,N,Y,N,N,0,319,0,0,0,1,0,63.8,0,0,0,0.2,"1,2,3",Y,Y,Y,https://github.com/ServiceNow/picard,N,https://github.com/ServiceNow/picard,https://anaconda.org/bioconda/picard,,n,n,n,https://formulae.brew.sh/formula/picard-tools#default and https://manpages.ubuntu.com/manpages/bionic/man1/,n,Y,"BRIDGE v2, BERT, SmBoP, Grappa, RATSQL, GAP, DTfixupSQL, Roberta, LGESQL, Electra,",Apache-2.0 license,387,96.75
RabbitQC,https://doi.org/10.1093/bioinformatics/btaa719,Data quality control,2021,N,N,Y,N,N,N,N,N,N,Y,N,0,0,0,0,0,1,0,0,0,0,0,0.2,1,Y,N,N,https://github.com/ZekunYin/RabbitQC,N,https://github.com/ZekunYin/RabbitQC,,,,,,,,Y,"fastp, AfterQC, Trimmomatic, FASTQC, SOAPnuke, NanoQC",GPL-3.0,15,3.75
fastp,https://doi.org/10.1002/imt2.107,Data quality control,2023,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,0,85,0,0,0,43,0,28.33333333,0,0,0,14.33333333,"1,2,3",Y,Y,Y,https://github.com/OpenGene/fastp,N,https://github.com/OpenGene/fastp,https://anaconda.org/bioconda/fastp,,https://hub.docker.com/r/nanozoo/fastp,n,n,https://formulae.brew.sh/formula/fastp#default,n,N,,MIT,393,196.5
find_circ,https://doi.org/10.1038/nature11928,Detecting circRNA,2013,N,N,Y,N,Y,N,N,N,N,Y,Y,0,1,0,0,0,1,0,0.07692307692,0,0,0,0.07692307692,"1,2,3",Y,Y,Y,,N,https://github.com/marvin-jens/find_circ,https://anaconda.org/bioconda/find_circ,,https://hub.docker.com/r/barryd237/find_circ,,,,,N,,GPL3,7736,644.6666667
CIRCexplorer,https://doi.org/10.1016/j.cell.2014.09.001,Detecting circRNA,2014,Y,N,Y,N,Y,N,N,Y,N,N,Y,1,30,2,0,0,0,0.09090909091,2.5,0.1666666667,0,0,0,"1,2,3",Y,Y,Y,https://yanglab.github.io/CIRCexplorer/,N,n,https://anaconda.org/bioconda/circexplorer,,https://hub.docker.com/r/conidiobolus/ddxl-circexplorer,https://pypi.org/project/CIRCexplorer/#description,n,n,n,Y,,MIT,1599,145.3636364
circRNA_finder,https://doi.org/10.1016/j.celrep.2014.10.062,Detecting circRNA,2014,N,N,Y,N,Y,N,N,N,N,Y,Y,0,1,0,0,0,2,0,0.08333333333,0,0,0,0.1666666667,"1,2,3",Y,Y,Y,https://github.com/orzechoj/circRNA_finder,N,https://github.com/orzechoj/circRNA_finder,https://anaconda.org/bioconda/circRNA_finder,,https://hub.docker.com/r/barryd237/circrna_finder,,,,,N,,MIT,999,90.81818182
KNIFE,https://doi.org/10.1186/s13059-015-0690-5,Detecting circRNA,2015,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,6,0,0,0,0,0,0.5454545455,"1,3",Y,N,Y,https://github.com/lindaszabo/KNIFE,N,https://github.com/lindaszabo/KNIFE,,,,,,,,Y,"CIRI, find_circ, MapSplice, Segemehl, and their own previous algorithms (Salzman et al. 2012 and Salzman et al. 2013)",No License,610,61
UROBORUS,https://doi.org/10.1093/nar/gkw075,Detecting circRNA,2016,N,N,Y,N,N,N,N,N,N,N,N,1,0,0,0,0,0,0.1111111111,0,0,0,0,0,0,N,N,N,http://uroborus.openbioinformatics.org/.,Y,n,n,,n,n,n,http://uroborus.openbioinformatics.org/.,n,Y,CIRCexplorer and find_circ,,286,31.77777778
PTESFinder,https://doi.org/10.1186/s12859-016-0881-4,Detecting circRNA,2016,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,1,0,0,0,0,0,0.1,"1,3",Y,N,Y,https://sourceforge.net/projects/ptesfinder-v1/files/,N,https://sourceforge.net/projects/ptesfinder-v1/files/,n,,n,n,n,n,n,Y,"CIRI, circRNA_finder, MapSplice and Memczak",OSI-Approved Open Source (Artistic License 2.0),67,7.444444444
NCLscan,https://doi.org/10.1093/nar/gkv1013,Detecting circRNA,2016,N,N,Y,N,N,N,N,N,N,Y,Y,0,0,0,0,0,4,0,0,0,0,0,0.4,1,Y,N,N,https://github.com/TreesLab/NCLscan,N,https://github.com/TreesLab/NCLscan,,,https://hub.docker.com/r/nciccbr/charlie_nclscan,,,,,Y,"BreakFusion, ChimeraScan, CRAC, deFuse, FusionAnalyser, FusionFinder, FusionHunter, FusionMap, FusionQ, MapSplice2, STAR, segemehl, SOAPfuse, TopHat-Fusion, TopHat-Fusion-post, find_circ, CIRCexplorer, and CIRI.",MIT,126,14
circTest,https://doi.org/10.1016/j.gpb.2016.02.003,Detecting circRNA,2016,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,1,0,0,0,0,0,0.1,"1,3",Y,N,Y,https://trackhub.dieterichlab.org/tjakobi/circRNA_heart/hub.txt AND http://tiny.cc/circRNA,Y,https://github.com/dieterich-lab/CircTest,,,https://hub.docker.com/r/barryd237/circtest,,,,,N,,No License,107,11.88888889
CIRI-AS,https://doi.org/10.1038/ncomms12060,Detecting circRNA,2016,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,2,0,0,0,0,0,0.2,"1,3",Y,N,Y,https://sourceforge.net/projects/ciri/,N,https://sourceforge.net/projects/ciri/,,,https://hub.docker.com/r/nunoagostinho/ciri-as,,,,,N,,GPL2,282,31.33333333
CIRCexplorer2,https://doi.org/10.1101/gr.202895.115,Detecting circRNA,2016,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,0,19,19,0,0,16,0,1.9,1.9,0,0,1.6,"1,2,3",Y,Y,Y,http://www.picb.ac.cn/rnomics/circpedia,N,https://github.com/YangLab/CIRCexplorer2,https://anaconda.org/bioconda/CIRCexplorer2,,https://hub.docker.com/r/bwhbioinformaticshub/circexplorer2,https://pypi.org/project/CIRCexplorer2,,,http://yang-laboratory.com/circpedia/search,Y,"STAR, MapSplice, segemehl, TopHat-Fusion, TopHat2",Copyright,937,104.1111111
DCC,https://doi.org/10.1093/bioinformatics/btv656,Detecting circRNA,2016,N,N,Y,N,Y,N,N,N,N,Y,N,0,1,0,0,0,11,0,0.1,0,0,0,1.1,"1,2,3",Y,Y,Y,https://github.com/dieterich-lab/DCC,N,https://github.com/dieterich-lab/DCC,https://anaconda.org/bioconda/DCC,,,,,,,Y,"CIRI, KNIFE",GPL3,364,40.44444444
CircComPara,https://doi.org/10.3390/ncrna3010008,Detecting circRNA,2017,N,N,Y,N,N,N,N,N,N,N,Y,0,0,0,0,0,11,0,0,0,0,0,1.222222222,1,Y,N,N,https://github.com/egaffo/CirComPara,N,https://github.com/egaffo/CirComPara,n,,n,n,n,n,n,N,n,GNU General Public License,50,6.25
Sailfish-cir,https://doi.org/10.1093/bioinformatics/btx129,Detecting circRNA,2017,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,2,0,0,0,0,0,0.2222222222,1,Y,N,N,https://github.com/zerodel/Sailfish-cir,N,https://github.com/zerodel/Sailfish-cir,n,,n,n,n,n,n,Y,CIRI,,60,7.5
CIRI-full,https://doi.org/10.1186/s13073-019-0614-1,Detecting circRNA,2019,N,N,Y,N,Y,N,N,N,N,Y,N,0,1,0,0,0,2,0,0.1428571429,0,0,0,0.2857142857,"1,2,3",Y,Y,Y,https://sourceforge.net/projects/ciri/,N,https://github.com/bioinfo-biols/CIRI-full,https://anaconda.org/bioconda/ciri-full,,n,n,n,n,n,Y,CIRCexplorer2,,152,25.33333333
CLEAR,https://doi.org/10.1016/j.gpb.2019.11.004,Detecting circRNA,2019,N,N,Y,N,N,N,N,Y,Y,Y,N,0,0,2,0,0,1,0,0,0.2857142857,0,0,0.1428571429,"1,2,3",Y,Y,Y,https://github.com/YangLab/CLEAR,N,https://github.com/YangLab/CLEAR,n,,https://hub.docker.com/r/bwhbioinformaticshub/circexplorer2,https://pypi.org/project/CIRCexplorer/#history,n,https://manpages.ubuntu.com/manpages/bionic/man1/,n,N,N,GPLv3,76,12.66666667
Ularcirc,https://doi.org/10.1093/nar/gkz718,Detecting circRNA,2019,N,N,Y,N,N,Y,N,N,N,Y,N,0,0,0,0,46,1,0,0,0,0,6.571428571,0.1428571429,"1,2,3",Y,Y,Y,https://github.com/VCCRI/Ularcirc,N,https://github.com/VCCRI/Ularcirc,n,,n,n,https://www.bioconductor.org/packages/devel/bioc/html/Ularcirc.html,n,n,Y,circExplorer2,GPL3.0,31,5.166666667
circAST,https://doi.org/10.1016/j.gpb.2019.03.004,Detecting circRNA,2019,N,N,Y,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,1,Y,N,N,https://github.com/xiaofengsong/CircAST.,N,https://github.com/xiaofengsong/CircAST.,n,,n,n,n,n,n,Y,CIRCexplorer2,,53,8.833333333
